Question,Question_Name,Group_1,Group_2,U_statistic,p_value,p_bonferroni,Significant_bonf005
Q1,Accomplishment,CROWD,GPT-5,1693.0,0.0387671136990202,0.23260268219412122,No
Q1,Accomplishment,CROWD,LLaMA-8B,1768.5,0.10081234566452837,0.6048740739871703,No
Q1,Accomplishment,CROWD,Mistral-24B,1462.5,0.0005387970538641763,0.0032327823231850577,Yes
Q1,Accomplishment,GPT-5,LLaMA-8B,2332.0,0.2614609101953492,1.0,No
Q1,Accomplishment,GPT-5,Mistral-24B,1432.0,1.9218225763798694e-06,1.1530935458279216e-05,Yes
Q1,Accomplishment,LLaMA-8B,Mistral-24B,954.5,3.199476185967906e-11,1.9196857115807436e-10,Yes
Q2,Effort,CROWD,GPT-5,2984.0,2.549345021760519e-05,0.00015296070130563113,Yes
Q2,Effort,CROWD,LLaMA-8B,2125.0,0.9540691616598541,1.0,No
Q2,Effort,CROWD,Mistral-24B,2700.5,0.004375886969856591,0.026255321819139546,Yes
Q2,Effort,GPT-5,LLaMA-8B,263.5,1.1903199267986416e-18,7.14191956079185e-18,Yes
Q2,Effort,GPT-5,Mistral-24B,1432.0,0.0006209409937950342,0.0037256459627702052,Yes
Q2,Effort,LLaMA-8B,Mistral-24B,3332.5,2.4945615048496373e-09,1.4967369029097825e-08,Yes
Q3,Mental Demand,CROWD,GPT-5,3155.0,5.196807301194648e-07,3.1180843807167893e-06,Yes
Q3,Mental Demand,CROWD,LLaMA-8B,2750.0,0.002730621344654319,0.016383728067925915,Yes
Q3,Mental Demand,CROWD,Mistral-24B,2518.0,0.037072199295274645,0.22243319577164788,No
Q3,Mental Demand,GPT-5,LLaMA-8B,654.5,4.981573475949616e-12,2.9889440855697696e-11,Yes
Q3,Mental Demand,GPT-5,Mistral-24B,358.5,5.948580076543171e-19,3.569148045925903e-18,Yes
Q3,Mental Demand,LLaMA-8B,Mistral-24B,1076.5,1.4227834443292931e-07,8.536700665975758e-07,Yes
Q4,Controllability,CROWD,GPT-5,1466.5,0.0016107114072816196,0.009664268443689717,Yes
Q4,Controllability,CROWD,LLaMA-8B,804.5,8.551146311246788e-10,5.130687786748073e-09,Yes
Q4,Controllability,CROWD,Mistral-24B,1113.0,1.0049302683475558e-07,6.029581610085335e-07,Yes
Q4,Controllability,GPT-5,LLaMA-8B,588.0,2.6574211139098177e-13,1.5944526683458906e-12,Yes
Q4,Controllability,GPT-5,Mistral-24B,1321.5,1.3453405526253463e-07,8.072043315752078e-07,Yes
Q4,Controllability,LLaMA-8B,Mistral-24B,3354.0,1.7379337249388688e-10,1.0427602349633213e-09,Yes
Q5,Temporal Demand,CROWD,GPT-5,3251.0,4.539001609405036e-08,2.7234009656430213e-07,Yes
Q5,Temporal Demand,CROWD,LLaMA-8B,1951.5,0.4508437312835144,1.0,No
Q5,Temporal Demand,CROWD,Mistral-24B,2262.0,0.47026842511287825,1.0,No
Q5,Temporal Demand,GPT-5,LLaMA-8B,153.5,3.396757932132585e-20,2.038054759279551e-19,Yes
Q5,Temporal Demand,GPT-5,Mistral-24B,59.5,1.2235863342469477e-22,7.341518005481686e-22,Yes
Q5,Temporal Demand,LLaMA-8B,Mistral-24B,3068.0,4.789758228564829e-06,2.8738549371388972e-05,Yes
Q6,Satisfaction,CROWD,GPT-5,1664.0,0.02557742574884672,0.15346455449308033,No
Q6,Satisfaction,CROWD,LLaMA-8B,1768.0,0.10454824346507056,0.6272894607904234,No
Q6,Satisfaction,CROWD,Mistral-24B,1416.5,0.0001763059904081767,0.0010578359424490602,Yes
Q6,Satisfaction,GPT-5,LLaMA-8B,2476.0,0.07522345219954757,0.4513407131972854,No
Q6,Satisfaction,GPT-5,Mistral-24B,1510.5,1.793319138771297e-05,0.00010759914832627781,Yes
Q6,Satisfaction,LLaMA-8B,Mistral-24B,881.0,1.364688884123343e-10,8.188133304740059e-10,Yes
