Question,Question_Name,Group_1,Group_2,U_statistic,p_value,p_bonferroni,Significant
Q1,Accomplishment,CROWD,GPT-5,341.5,0.694434167994975,1.0,No
Q1,Accomplishment,CROWD,LLaMA-8B,292.5,0.21041847189298057,1.0,No
Q1,Accomplishment,CROWD,Mistral-24B,220.0,0.0066250536646358,0.0397503219878148,Yes
Q1,Accomplishment,GPT-5,LLaMA-8B,169.0,0.0005822392985675384,0.003493435791405231,Yes
Q1,Accomplishment,GPT-5,Mistral-24B,39.5,4.590766280944938e-09,2.7544597685669627e-08,Yes
Q1,Accomplishment,LLaMA-8B,Mistral-24B,101.0,1.1162932035462196e-06,6.697759221277318e-06,Yes
Q2,Effort,CROWD,GPT-5,596.0,3.853363356810636e-05,0.00023120180140863818,Yes
Q2,Effort,CROWD,LLaMA-8B,506.5,0.013513813167031763,0.08108287900219058,No
Q2,Effort,CROWD,Mistral-24B,580.5,3.825323822649374e-05,0.00022951942935896247,Yes
Q2,Effort,GPT-5,LLaMA-8B,14.5,6.442837702792745e-10,3.865702621675647e-09,Yes
Q2,Effort,GPT-5,Mistral-24B,243.0,0.002802746677726111,0.016816480066356665,Yes
Q2,Effort,LLaMA-8B,Mistral-24B,715.5,5.385591353649865e-11,3.231354812189919e-10,Yes
Q3,Mental Demand,CROWD,GPT-5,576.0,5.7276160462308966e-05,0.0003436569627738538,Yes
Q3,Mental Demand,CROWD,LLaMA-8B,525.0,0.005265687743697314,0.03159412646218388,Yes
Q3,Mental Demand,CROWD,Mistral-24B,528.0,0.003659188410101808,0.021955130460610848,Yes
Q3,Mental Demand,GPT-5,LLaMA-8B,164.0,0.00020537867870768972,0.0012322720722461383,Yes
Q3,Mental Demand,GPT-5,Mistral-24B,168.0,2.582562966354844e-05,0.00015495377798129066,Yes
Q3,Mental Demand,LLaMA-8B,Mistral-24B,440.5,0.17842119663307265,1.0,No
Q4,Controllability,CROWD,GPT-5,349.5,0.7998921752212089,1.0,No
Q4,Controllability,CROWD,LLaMA-8B,127.0,3.5582958298703594e-05,0.00021349774979222158,Yes
Q4,Controllability,CROWD,Mistral-24B,204.5,0.00510268855941056,0.030616131356463357,Yes
Q4,Controllability,GPT-5,LLaMA-8B,49.0,3.8062646154168395e-08,2.2837587692501038e-07,Yes
Q4,Controllability,GPT-5,Mistral-24B,144.5,0.00012253271103642344,0.0007351962662185406,Yes
Q4,Controllability,LLaMA-8B,Mistral-24B,601.0,3.551129268746558e-05,0.00021306775612479347,Yes
Q5,Temporal Demand,CROWD,GPT-5,589.0,3.6849206773589133e-06,2.210952406415348e-05,Yes
Q5,Temporal Demand,CROWD,LLaMA-8B,214.0,0.008954286895253278,0.053725721371519666,No
Q5,Temporal Demand,CROWD,Mistral-24B,579.0,1.855578087038161e-05,0.00011133468522228965,Yes
Q5,Temporal Demand,GPT-5,LLaMA-8B,0.0,2.1505067560555367e-11,1.290304053633322e-10,Yes
Q5,Temporal Demand,GPT-5,Mistral-24B,336.5,0.294706295325878,1.0,No
Q5,Temporal Demand,LLaMA-8B,Mistral-24B,726.0,5.6339603364638016e-11,3.380376201878281e-10,Yes
Q6,Satisfaction,CROWD,GPT-5,416.0,0.3722676202158822,1.0,No
Q6,Satisfaction,CROWD,LLaMA-8B,340.0,0.6745410868753177,1.0,No
Q6,Satisfaction,CROWD,Mistral-24B,309.0,0.33332857279079475,1.0,No
Q6,Satisfaction,GPT-5,LLaMA-8B,226.0,0.01472478935308281,0.08834873611849686,No
Q6,Satisfaction,GPT-5,Mistral-24B,79.0,6.358481164836774e-07,3.815088698902064e-06,Yes
Q6,Satisfaction,LLaMA-8B,Mistral-24B,118.5,1.5551386017144475e-05,9.330831610286685e-05,Yes
