metric,metric_label,U_stat,p_value,significance,crowd_n,agent_n,mode,prompt,model,profile
accomplishment,Q1: Accomplishment,885.0,4.1401792559591685e-05,***,55,55,E2E Agent,Calibrated,Mistral-24B,All
effort_required,Q2: Effort Required,2692.0,4.5651870013367164e-14,***,55,55,E2E Agent,Calibrated,Mistral-24B,All
mental_demand,Q3: Mental Demand,2172.5,1.6009401151057236e-06,***,55,55,E2E Agent,Calibrated,Mistral-24B,All
perceived_controllability,Q4: Controllability,1676.5,0.28840900546377146,ns,55,55,E2E Agent,Calibrated,Mistral-24B,All
temporal_demand,Q5: Temporal Demand,2468.5,4.3677943232234484e-10,***,55,55,E2E Agent,Calibrated,Mistral-24B,All
trust,Q6: Trust,759.0,1.3029259438769337e-06,***,55,55,E2E Agent,Calibrated,Mistral-24B,All
accomplishment,Q1: Accomplishment,33.0,0.45993597347516046,ns,9,9,E2E Agent,Calibrated,Mistral-24B,high_school
effort_required,Q2: Effort Required,66.0,0.016735462679022366,*,9,9,E2E Agent,Calibrated,Mistral-24B,high_school
mental_demand,Q3: Mental Demand,54.0,0.14293891411903953,ns,9,9,E2E Agent,Calibrated,Mistral-24B,high_school
perceived_controllability,Q4: Controllability,58.5,0.08820150262646032,ns,9,9,E2E Agent,Calibrated,Mistral-24B,high_school
temporal_demand,Q5: Temporal Demand,58.5,0.08860097919771151,ns,9,9,E2E Agent,Calibrated,Mistral-24B,high_school
trust,Q6: Trust,27.0,0.18838513471909535,ns,9,9,E2E Agent,Calibrated,Mistral-24B,high_school
accomplishment,Q1: Accomplishment,144.0,0.004427885957457474,**,23,23,E2E Agent,Calibrated,Mistral-24B,undergraduate
effort_required,Q2: Effort Required,489.0,9.099934828573476e-08,***,23,23,E2E Agent,Calibrated,Mistral-24B,undergraduate
mental_demand,Q3: Mental Demand,345.0,0.03978326389629477,*,23,23,E2E Agent,Calibrated,Mistral-24B,undergraduate
perceived_controllability,Q4: Controllability,205.5,0.16449798642761781,ns,23,23,E2E Agent,Calibrated,Mistral-24B,undergraduate
temporal_demand,Q5: Temporal Demand,448.5,3.962991540790109e-06,***,23,23,E2E Agent,Calibrated,Mistral-24B,undergraduate
trust,Q6: Trust,117.5,0.0007097067727040397,***,23,23,E2E Agent,Calibrated,Mistral-24B,undergraduate
accomplishment,Q1: Accomplishment,133.0,0.0004955856280454365,***,23,23,E2E Agent,Calibrated,Mistral-24B,graduate
effort_required,Q2: Effort Required,477.0,7.47349024618016e-07,***,23,23,E2E Agent,Calibrated,Mistral-24B,graduate
mental_demand,Q3: Mental Demand,425.5,9.72135519767369e-06,***,23,23,E2E Agent,Calibrated,Mistral-24B,graduate
perceived_controllability,Q4: Controllability,345.0,0.03310069283891681,*,23,23,E2E Agent,Calibrated,Mistral-24B,graduate
temporal_demand,Q5: Temporal Demand,438.5,5.0584476636321376e-05,***,23,23,E2E Agent,Calibrated,Mistral-24B,graduate
trust,Q6: Trust,92.0,4.629053801093996e-06,***,23,23,E2E Agent,Calibrated,Mistral-24B,graduate
