Question,Question_Name,Group_1,Group_2,U_statistic,p_value,p_bonferroni,Significant
Q1,Accomplishment,CROWD,GPT-5,326.0,0.5077283306099556,1.0,No
Q1,Accomplishment,CROWD,LLaMA-8B,296.5,0.2391118995812016,1.0,No
Q1,Accomplishment,CROWD,Mistral-24B,216.5,0.006661824250618369,0.03997094550371021,Yes
Q1,Accomplishment,GPT-5,LLaMA-8B,248.5,0.041788542649551286,0.2507312558973077,No
Q1,Accomplishment,GPT-5,Mistral-24B,44.0,1.0341037617320095e-08,6.204622570392057e-08,Yes
Q1,Accomplishment,LLaMA-8B,Mistral-24B,41.5,7.416678264316218e-09,4.450006958589731e-08,Yes
Q2,Effort,CROWD,GPT-5,597.5,4.0447392667131e-05,0.00024268435600278602,Yes
Q2,Effort,CROWD,LLaMA-8B,529.5,0.004006988924955565,0.02404193354973339,Yes
Q2,Effort,CROWD,Mistral-24B,576.0,0.0001108941191656853,0.0006653647149941118,Yes
Q2,Effort,GPT-5,LLaMA-8B,45.5,2.2001901160628885e-08,1.320114069637733e-07,Yes
Q2,Effort,GPT-5,Mistral-24B,214.0,0.0022474596972886264,0.013484758183731758,Yes
Q2,Effort,LLaMA-8B,Mistral-24B,675.5,1.976013910944506e-08,1.1856083465667034e-07,Yes
Q3,Mental Demand,CROWD,GPT-5,585.0,4.437234553854277e-05,0.00026623407323125663,Yes
Q3,Mental Demand,CROWD,LLaMA-8B,509.0,0.011867398706049347,0.07120439223629609,No
Q3,Mental Demand,CROWD,Mistral-24B,507.0,0.01269060798843542,0.07614364793061251,No
Q3,Mental Demand,GPT-5,LLaMA-8B,155.0,0.00014676913897608484,0.0008806148338565091,Yes
Q3,Mental Demand,GPT-5,Mistral-24B,73.5,5.09766322499947e-08,3.0585979349996824e-07,Yes
Q3,Mental Demand,LLaMA-8B,Mistral-24B,413.5,0.39296070235781355,1.0,No
Q4,Controllability,CROWD,GPT-5,304.5,0.298439819624826,1.0,No
Q4,Controllability,CROWD,LLaMA-8B,137.0,7.392393518535257e-05,0.0004435436111121154,Yes
Q4,Controllability,CROWD,Mistral-24B,192.0,0.002541034723078337,0.015246208338470022,Yes
Q4,Controllability,GPT-5,LLaMA-8B,97.5,3.2982939406621374e-06,1.9789763643972824e-05,Yes
Q4,Controllability,GPT-5,Mistral-24B,185.0,0.001648508343158702,0.009891050058952211,Yes
Q4,Controllability,LLaMA-8B,Mistral-24B,535.0,0.0026582449073069957,0.015949469443841974,Yes
Q5,Temporal Demand,CROWD,GPT-5,584.0,8.601421726131735e-06,5.160853035679041e-05,Yes
Q5,Temporal Demand,CROWD,LLaMA-8B,222.0,0.0133248681370118,0.0799492088220708,No
Q5,Temporal Demand,CROWD,Mistral-24B,555.0,0.0002155213406778891,0.0012931280440673346,Yes
Q5,Temporal Demand,GPT-5,LLaMA-8B,0.0,3.033561055953434e-11,1.8201366335720603e-10,Yes
Q5,Temporal Demand,GPT-5,Mistral-24B,320.0,0.1920921578403929,1.0,No
Q5,Temporal Demand,LLaMA-8B,Mistral-24B,713.5,3.9660557029854923e-10,2.3796334217912955e-09,Yes
Q6,Satisfaction,CROWD,GPT-5,399.5,0.5462469074205873,1.0,No
Q6,Satisfaction,CROWD,LLaMA-8B,334.0,0.5998342007902862,1.0,No
Q6,Satisfaction,CROWD,Mistral-24B,274.5,0.11317707660707182,0.679062459642431,No
Q6,Satisfaction,GPT-5,LLaMA-8B,197.5,0.0035150660090823597,0.021090396054494157,Yes
Q6,Satisfaction,GPT-5,Mistral-24B,78.0,5.561623350809544e-07,3.336974010485726e-06,Yes
Q6,Satisfaction,LLaMA-8B,Mistral-24B,184.5,0.0016284066257597303,0.009770439754558382,Yes
