Question,Question_Name,Group_1,Group_2,U_statistic,p_value,p_bonferroni,Significant
Q1,Accomplishment,CROWD,GPT-5,255.5,0.048371174069803735,0.2902270444188224,No
Q1,Accomplishment,CROWD,LLaMA-8B,262.0,0.0711046637526083,0.42662798251564976,No
Q1,Accomplishment,CROWD,Mistral-24B,202.5,0.0012291489231299874,0.007374893538779924,Yes
Q1,Accomplishment,GPT-5,LLaMA-8B,388.5,0.6614097225905846,1.0,No
Q1,Accomplishment,GPT-5,Mistral-24B,229.5,0.0005912305262533755,0.0035473831575202532,Yes
Q1,Accomplishment,LLaMA-8B,Mistral-24B,135.0,1.268720223145678e-06,7.612321338874068e-06,Yes
Q2,Effort,CROWD,GPT-5,545.5,0.0013081696168537505,0.007849017701122504,Yes
Q2,Effort,CROWD,LLaMA-8B,390.0,0.6534171660684274,1.0,No
Q2,Effort,CROWD,Mistral-24B,501.5,0.013879840056374607,0.08327904033824765,No
Q2,Effort,GPT-5,LLaMA-8B,49.5,2.602515807781484e-08,1.5615094846688904e-07,Yes
Q2,Effort,GPT-5,Mistral-24B,251.0,0.03535252106634516,0.21211512639807098,No
Q2,Effort,LLaMA-8B,Mistral-24B,592.5,3.7606497943499725e-05,0.00022563898766099835,Yes
Q3,Mental Demand,CROWD,GPT-5,509.0,0.010291417857954111,0.06174850714772467,No
Q3,Mental Demand,CROWD,LLaMA-8B,454.0,0.11809895653117065,0.708593739187024,No
Q3,Mental Demand,CROWD,Mistral-24B,382.0,0.7404474080075422,1.0,No
Q3,Mental Demand,GPT-5,LLaMA-8B,128.5,3.260054641923398e-05,0.0001956032785154039,Yes
Q3,Mental Demand,GPT-5,Mistral-24B,57.0,7.746816536269725e-09,4.648089921761835e-08,Yes
Q3,Mental Demand,LLaMA-8B,Mistral-24B,122.0,4.827641456870217e-06,2.89658487412213e-05,Yes
Q4,Controllability,CROWD,GPT-5,172.0,0.0005407338885313606,0.0032444033311881636,Yes
Q4,Controllability,CROWD,LLaMA-8B,58.5,1.0085373280744415e-07,6.051223968446649e-07,Yes
Q4,Controllability,CROWD,Mistral-24B,94.5,1.3884982692782216e-07,8.33098961566933e-07,Yes
Q4,Controllability,GPT-5,LLaMA-8B,106.0,4.798530168967801e-06,2.8791181013806808e-05,Yes
Q4,Controllability,GPT-5,Mistral-24B,216.0,0.00027226114373676304,0.0016335668624205782,Yes
Q4,Controllability,LLaMA-8B,Mistral-24B,553.5,0.0003313718780667564,0.0019882312684005384,Yes
Q5,Temporal Demand,CROWD,GPT-5,512.0,0.008148780108219003,0.04889268064931401,Yes
Q5,Temporal Demand,CROWD,LLaMA-8B,290.5,0.19894428307951806,1.0,No
Q5,Temporal Demand,CROWD,Mistral-24B,319.0,0.4190119746068477,1.0,No
Q5,Temporal Demand,GPT-5,LLaMA-8B,28.0,4.280216691889387e-09,2.5681300151336323e-08,Yes
Q5,Temporal Demand,GPT-5,Mistral-24B,14.0,5.610149924475e-10,3.3660899546849995e-09,Yes
Q5,Temporal Demand,LLaMA-8B,Mistral-24B,551.0,0.0009670237276436646,0.005802142365861988,Yes
Q6,Satisfaction,CROWD,GPT-5,275.5,0.10146748476376391,0.6088049085825835,No
Q6,Satisfaction,CROWD,LLaMA-8B,288.0,0.1825367159254384,1.0,No
Q6,Satisfaction,CROWD,Mistral-24B,202.5,0.0008391701327364517,0.00503502079641871,Yes
Q6,Satisfaction,GPT-5,LLaMA-8B,418.0,0.34097750260653226,1.0,No
Q6,Satisfaction,GPT-5,Mistral-24B,229.5,0.0005881214178624223,0.003528728507174534,Yes
Q6,Satisfaction,LLaMA-8B,Mistral-24B,108.0,7.552277568746294e-07,4.531366541247776e-06,Yes
