Question,Question_Name,Group_1,Group_2,U_statistic,p_value,p_bonferroni,Significant
Q1,Accomplishment,CROWD,GPT-5,530.0,0.15855506962872168,0.9513304177723301,No
Q1,Accomplishment,CROWD,LLaMA-8B,558.0,0.29938171754065857,1.0,No
Q1,Accomplishment,CROWD,Mistral-24B,468.0,0.021125721154744825,0.12675432692846894,No
Q1,Accomplishment,GPT-5,LLaMA-8B,715.5,0.3998980186960208,1.0,No
Q1,Accomplishment,GPT-5,Mistral-24B,451.5,0.0009938224963370503,0.005962934978022302,Yes
Q1,Accomplishment,LLaMA-8B,Mistral-24B,330.0,1.030916818559427e-05,6.185500911356563e-05,Yes
Q2,Effort,CROWD,GPT-5,871.0,0.008744425903750965,0.05246655542250579,No
Q2,Effort,CROWD,LLaMA-8B,612.0,0.6811294838529411,1.0,No
Q2,Effort,CROWD,Mistral-24B,784.5,0.11015816573349631,0.6609489944009779,No
Q2,Effort,GPT-5,LLaMA-8B,78.5,4.971636919661451e-11,2.982982151796871e-10,Yes
Q2,Effort,GPT-5,Mistral-24B,445.0,0.013370058479373444,0.08022035087624066,No
Q2,Effort,LLaMA-8B,Mistral-24B,1008.5,2.04737330859265e-05,0.000122842398515559,Yes
Q3,Mental Demand,CROWD,GPT-5,995.0,5.1767004431502875e-05,0.0003106020265890172,Yes
Q3,Mental Demand,CROWD,LLaMA-8B,859.0,0.016642711263958873,0.09985626758375324,No
Q3,Mental Demand,CROWD,Mistral-24B,827.5,0.028441705016678604,0.17065023010007163,No
Q3,Mental Demand,GPT-5,LLaMA-8B,177.5,6.91679517467012e-08,4.150077104802072e-07,Yes
Q3,Mental Demand,GPT-5,Mistral-24B,123.0,1.2068440696290639e-10,7.241064417774383e-10,Yes
Q3,Mental Demand,LLaMA-8B,Mistral-24B,433.5,0.008271002072147343,0.04962601243288406,Yes
Q4,Controllability,CROWD,GPT-5,554.0,0.26579201593112356,1.0,No
Q4,Controllability,CROWD,LLaMA-8B,331.5,0.0003249579136832296,0.0019497474820993777,Yes
Q4,Controllability,CROWD,Mistral-24B,455.5,0.01173648282018887,0.07041889692113322,No
Q4,Controllability,GPT-5,LLaMA-8B,177.0,4.383815813017045e-08,2.630289487810227e-07,Yes
Q4,Controllability,GPT-5,Mistral-24B,408.5,0.00014707621454522943,0.0008824572872713765,Yes
Q4,Controllability,LLaMA-8B,Mistral-24B,1047.5,6.159067797068545e-07,3.695440678241127e-06,Yes
Q5,Temporal Demand,CROWD,GPT-5,1039.5,6.158645305265423e-06,3.6951871831592534e-05,Yes
Q5,Temporal Demand,CROWD,LLaMA-8B,602.0,0.6045247266400773,1.0,No
Q5,Temporal Demand,CROWD,Mistral-24B,751.5,0.22608146842663057,1.0,No
Q5,Temporal Demand,GPT-5,LLaMA-8B,43.5,6.95847839298697e-12,4.1750870357921816e-11,Yes
Q5,Temporal Demand,GPT-5,Mistral-24B,12.5,2.575416458283335e-13,1.545249874970001e-12,Yes
Q5,Temporal Demand,LLaMA-8B,Mistral-24B,933.5,0.0009346883662134324,0.005608130197280595,Yes
Q6,Satisfaction,CROWD,GPT-5,504.0,0.0848333555730306,0.5090001334381835,No
Q6,Satisfaction,CROWD,LLaMA-8B,535.5,0.20155980133335993,1.0,No
Q6,Satisfaction,CROWD,Mistral-24B,459.0,0.01643603919619022,0.09861623517714133,No
Q6,Satisfaction,GPT-5,LLaMA-8B,755.5,0.20140600047005652,1.0,No
Q6,Satisfaction,GPT-5,Mistral-24B,496.0,0.008554155645305105,0.05132493387183063,No
Q6,Satisfaction,LLaMA-8B,Mistral-24B,327.0,5.5781164685293526e-05,0.00033468698811176114,Yes
