metric,metric_label,U_stat,p_value,significance,crowd_n,agent_n,mode,prompt,model,profile
accomplishment,Q1: Accomplishment,865.5,2.2957873039822402e-05,***,55,55,E2E Agent,Role-Anchored,GPT-5,All
effort_required,Q2: Effort Required,2682.5,8.228644734191623e-14,***,55,55,E2E Agent,Role-Anchored,GPT-5,All
mental_demand,Q3: Mental Demand,2172.5,1.6009401151057236e-06,***,55,55,E2E Agent,Role-Anchored,GPT-5,All
perceived_controllability,Q4: Controllability,1662.0,0.331738798396772,ns,55,55,E2E Agent,Role-Anchored,GPT-5,All
temporal_demand,Q5: Temporal Demand,2485.5,1.4679710412391908e-10,***,55,55,E2E Agent,Role-Anchored,GPT-5,All
trust,Q6: Trust,742.5,7.360770771282333e-07,***,55,55,E2E Agent,Role-Anchored,GPT-5,All
accomplishment,Q1: Accomplishment,36.0,0.6543344191690161,ns,9,9,E2E Agent,Role-Anchored,GPT-5,high_school
effort_required,Q2: Effort Required,67.5,0.009237314357999097,**,9,9,E2E Agent,Role-Anchored,GPT-5,high_school
mental_demand,Q3: Mental Demand,54.0,0.14293891411903953,ns,9,9,E2E Agent,Role-Anchored,GPT-5,high_school
perceived_controllability,Q4: Controllability,58.5,0.08820150262646032,ns,9,9,E2E Agent,Role-Anchored,GPT-5,high_school
temporal_demand,Q5: Temporal Demand,58.5,0.08860097919771151,ns,9,9,E2E Agent,Role-Anchored,GPT-5,high_school
trust,Q6: Trust,27.0,0.18838513471909535,ns,9,9,E2E Agent,Role-Anchored,GPT-5,high_school
accomplishment,Q1: Accomplishment,114.0,0.0003219690100215171,***,23,23,E2E Agent,Role-Anchored,GPT-5,undergraduate
effort_required,Q2: Effort Required,472.5,1.118236970044822e-06,***,23,23,E2E Agent,Role-Anchored,GPT-5,undergraduate
mental_demand,Q3: Mental Demand,345.0,0.03978326389629477,*,23,23,E2E Agent,Role-Anchored,GPT-5,undergraduate
perceived_controllability,Q4: Controllability,191.5,0.08118491972912008,ns,23,23,E2E Agent,Role-Anchored,GPT-5,undergraduate
temporal_demand,Q5: Temporal Demand,448.5,3.962991540790109e-06,***,23,23,E2E Agent,Role-Anchored,GPT-5,undergraduate
trust,Q6: Trust,107.5,0.00029347296030611585,***,23,23,E2E Agent,Role-Anchored,GPT-5,undergraduate
accomplishment,Q1: Accomplishment,151.0,0.003683233903284017,**,23,23,E2E Agent,Role-Anchored,GPT-5,graduate
effort_required,Q2: Effort Required,479.5,5.056321276315818e-07,***,23,23,E2E Agent,Role-Anchored,GPT-5,graduate
mental_demand,Q3: Mental Demand,425.5,9.72135519767369e-06,***,23,23,E2E Agent,Role-Anchored,GPT-5,graduate
perceived_controllability,Q4: Controllability,350.5,0.025654302725166115,*,23,23,E2E Agent,Role-Anchored,GPT-5,graduate
temporal_demand,Q5: Temporal Demand,443.5,2.3589539023990062e-05,***,23,23,E2E Agent,Role-Anchored,GPT-5,graduate
trust,Q6: Trust,101.5,2.1213557453624275e-05,***,23,23,E2E Agent,Role-Anchored,GPT-5,graduate
