Question,Question_Name,Group_1,Group_2,U_statistic,p_value,p_bonferroni,Significant
Q1,Accomplishment,CROWD,GPT-5,667.5,0.8291404339186355,1.0,No
Q1,Accomplishment,CROWD,LLaMA-8B,652.5,0.9637475086034348,1.0,No
Q1,Accomplishment,CROWD,Mistral-24B,488.0,0.04437589629516299,0.26625537777097796,No
Q1,Accomplishment,GPT-5,LLaMA-8B,524.0,0.15650616445401702,0.9390369867241022,No
Q1,Accomplishment,GPT-5,Mistral-24B,28.0,1.6881330537546323e-13,1.0128798322527793e-12,Yes
Q1,Accomplishment,LLaMA-8B,Mistral-24B,90.0,1.6645383186812178e-11,9.987229912087306e-11,Yes
Q2,Effort,CROWD,GPT-5,1008.0,2.6222361140810352e-05,0.0001573341668448621,Yes
Q2,Effort,CROWD,LLaMA-8B,760.0,0.20520741780186014,1.0,No
Q2,Effort,CROWD,Mistral-24B,940.5,0.00022996234812890692,0.0013797740887734416,Yes
Q2,Effort,GPT-5,LLaMA-8B,63.5,2.0208591307756238e-11,1.2125154784653743e-10,Yes
Q2,Effort,GPT-5,Mistral-24B,400.5,0.0003227589149535292,0.0019365534897211752,Yes
Q2,Effort,LLaMA-8B,Mistral-24B,1210.5,1.4494102956647647e-11,8.696461773988588e-11,Yes
Q3,Mental Demand,CROWD,GPT-5,1112.0,3.012675446249773e-08,1.8076052677498638e-07,Yes
Q3,Mental Demand,CROWD,LLaMA-8B,1000.5,6.261356788297719e-05,0.0003756814072978632,Yes
Q3,Mental Demand,CROWD,Mistral-24B,984.0,0.0001194521616004865,0.000716712969602919,Yes
Q3,Mental Demand,GPT-5,LLaMA-8B,265.5,5.500792209585968e-06,3.300475325751581e-05,Yes
Q3,Mental Demand,GPT-5,Mistral-24B,175.0,6.632279246308956e-09,3.9793675477853734e-08,Yes
Q3,Mental Demand,LLaMA-8B,Mistral-24B,686.5,0.6605591027687395,1.0,No
Q4,Controllability,CROWD,GPT-5,785.0,0.12152702150065088,0.7291621290039053,No
Q4,Controllability,CROWD,LLaMA-8B,597.0,0.5657305541846798,1.0,No
Q4,Controllability,CROWD,Mistral-24B,672.0,0.788653142090019,1.0,No
Q4,Controllability,GPT-5,LLaMA-8B,171.5,6.946628272927643e-08,4.1679769637565856e-07,Yes
Q4,Controllability,GPT-5,Mistral-24B,265.5,1.1961741390938971e-05,7.177044834563382e-05,Yes
Q4,Controllability,LLaMA-8B,Mistral-24B,952.5,0.0004633074625851776,0.0027798447755110656,Yes
Q5,Temporal Demand,CROWD,GPT-5,1120.5,2.4822712517162926e-09,1.4893627510297756e-08,Yes
Q5,Temporal Demand,CROWD,LLaMA-8B,305.0,9.99578717199335e-05,0.000599747230319601,Yes
Q5,Temporal Demand,CROWD,Mistral-24B,1134.0,2.6674030838751044e-10,1.6004418503250626e-09,Yes
Q5,Temporal Demand,GPT-5,LLaMA-8B,0.0,1.5836956054769623e-14,9.502173632861774e-14,Yes
Q5,Temporal Demand,GPT-5,Mistral-24B,702.0,0.08173522987424987,0.49041137924549927,No
Q5,Temporal Demand,LLaMA-8B,Mistral-24B,1296.0,5.920664169299661e-15,3.552398501579796e-14,Yes
Q6,Satisfaction,CROWD,GPT-5,724.5,0.38752123262325056,1.0,No
Q6,Satisfaction,CROWD,LLaMA-8B,634.5,0.8825020921905998,1.0,No
Q6,Satisfaction,CROWD,Mistral-24B,544.5,0.23551782240779506,1.0,No
Q6,Satisfaction,GPT-5,LLaMA-8B,420.0,0.008818152438568764,0.05290891463141258,No
Q6,Satisfaction,GPT-5,Mistral-24B,106.5,7.028653381257308e-10,4.217192028754385e-09,Yes
Q6,Satisfaction,LLaMA-8B,Mistral-24B,179.0,7.660810182737738e-08,4.5964861096426427e-07,Yes
