session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
906,37,undergraduate,4,3,4,3,2,4
956,38,graduate,5,3,4,4,2,5
986,40,graduate,5,4,4,4,3,5
1016,41,graduate,5,3,4,4,2,5
1065,45,undergraduate,5,3,4,4,2,5
1110,47,undergraduate,4,3,4,4,2,4
1145,50,undergraduate,4,3,4,4,2,4
1190,55,undergraduate,4,3,4,3,2,4
1225,59,undergraduate,5,3,4,4,2,5
1280,67,undergraduate,4,3,4,3,2,4
1305,73,undergraduate,5,3,4,4,2,5
1360,123,graduate,5,3,4,4,2,5
1400,125,graduate,5,4,4,3,2,5
1440,127,graduate,4,3,4,3,2,4
1490,129,undergraduate,5,3,4,4,2,5
1520,131,undergraduate,5,3,4,4,2,5
1570,137,undergraduate,5,3,4,4,2,5
1605,143,graduate,5,4,4,4,3,5
2264,153,graduate,5,3,4,4,2,5
1671,154,graduate,5,4,4,4,2,5
1706,156,graduate,5,3,4,4,2,5
1751,166,graduate,5,3,4,4,2,5
1786,170,graduate,4,3,4,4,2,5
1831,172,high_school,4,3,4,4,2,4
2308,180,graduate,4,3,4,4,2,5
2339,188,high_school,4,3,4,4,2,4
2357,198,high_school,4,3,4,3,2,4
2380,214,high_school,4,3,4,3,2,4
2403,215,high_school,5,4,3,4,2,4
2426,219,high_school,4,3,4,4,2,4
2452,221,high_school,5,4,4,3,2,4
2474,228,undergraduate,4,3,4,4,2,4
2495,229,undergraduate,5,4,4,3,2,4
2525,237,undergraduate,5,3,4,4,2,5
2546,239,graduate,5,4,4,3,2,5
2571,241,graduate,4,3,4,4,2,5
2596,242,graduate,5,4,4,4,3,5
2622,244,graduate,5,4,4,4,3,5
2647,246,graduate,5,3,4,4,2,5
2668,250,graduate,5,3,4,4,2,5
2689,251,graduate,5,4,4,4,3,5
2715,254,graduate,5,3,4,4,2,5
2732,265,undergraduate,5,3,4,4,2,4
2753,268,undergraduate,5,4,4,4,3,5
2775,269,undergraduate,5,3,4,4,2,5
2796,278,undergraduate,4,3,4,4,2,4
2817,285,undergraduate,5,3,4,4,2,4
2839,288,high_school,4,3,4,3,2,4
2860,289,high_school,5,4,4,3,2,4
2877,293,undergraduate,4,3,4,4,2,4
2101,849,graduate,5,4,4,4,3,5
2158,855,undergraduate,5,3,4,4,2,5
2206,861,undergraduate,5,3,4,4,2,5
2246,863,graduate,4,3,4,3,2,4
2300,877,undergraduate,5,3,4,4,2,5
