Config,Group,Role,Question,Median
JudgeAgent,CROWD,All,Q1_Accomplishment,3.0
JudgeAgent,CROWD,All,Q2_Effort,3.0
JudgeAgent,CROWD,All,Q3_Mental_Demand,3.0
JudgeAgent,CROWD,All,Q4_Controllability,3.0
JudgeAgent,CROWD,All,Q5_Temporal_Demand,2.0
JudgeAgent,CROWD,All,Q6_Satisfaction,3.0
JudgeAgent,GPT-5,All,Q1_Accomplishment,4.0
JudgeAgent,GPT-5,All,Q2_Effort,2.0
JudgeAgent,GPT-5,All,Q3_Mental_Demand,2.0
JudgeAgent,GPT-5,All,Q4_Controllability,4.0
JudgeAgent,GPT-5,All,Q5_Temporal_Demand,1.0
JudgeAgent,GPT-5,All,Q6_Satisfaction,4.0
JudgeAgent,LLaMA-8B,All,Q1_Accomplishment,4.0
JudgeAgent,LLaMA-8B,All,Q2_Effort,3.0
JudgeAgent,LLaMA-8B,All,Q3_Mental_Demand,3.0
JudgeAgent,LLaMA-8B,All,Q4_Controllability,4.0
JudgeAgent,LLaMA-8B,All,Q5_Temporal_Demand,2.0
JudgeAgent,LLaMA-8B,All,Q6_Satisfaction,4.0
JudgeAgent,Mistral-24B,All,Q1_Accomplishment,4.0
JudgeAgent,Mistral-24B,All,Q2_Effort,3.0
JudgeAgent,Mistral-24B,All,Q3_Mental_Demand,3.0
JudgeAgent,Mistral-24B,All,Q4_Controllability,4.0
JudgeAgent,Mistral-24B,All,Q5_Temporal_Demand,2.0
JudgeAgent,Mistral-24B,All,Q6_Satisfaction,4.0
e2e Calibrated,CROWD,All,Q1_Accomplishment,3.0
e2e Calibrated,CROWD,All,Q2_Effort,3.0
e2e Calibrated,CROWD,All,Q3_Mental_Demand,3.0
e2e Calibrated,CROWD,All,Q4_Controllability,3.0
e2e Calibrated,CROWD,All,Q5_Temporal_Demand,2.0
e2e Calibrated,CROWD,All,Q6_Satisfaction,3.0
e2e Calibrated,GPT-5,All,Q1_Accomplishment,4.0
e2e Calibrated,GPT-5,All,Q2_Effort,2.0
e2e Calibrated,GPT-5,All,Q3_Mental_Demand,2.0
e2e Calibrated,GPT-5,All,Q4_Controllability,3.0
e2e Calibrated,GPT-5,All,Q5_Temporal_Demand,1.0
e2e Calibrated,GPT-5,All,Q6_Satisfaction,3.0
e2e Calibrated,LLaMA-8B,All,Q1_Accomplishment,3.0
e2e Calibrated,LLaMA-8B,All,Q2_Effort,3.0
e2e Calibrated,LLaMA-8B,All,Q3_Mental_Demand,2.0
e2e Calibrated,LLaMA-8B,All,Q4_Controllability,3.0
e2e Calibrated,LLaMA-8B,All,Q5_Temporal_Demand,3.0
e2e Calibrated,LLaMA-8B,All,Q6_Satisfaction,3.0
e2e Calibrated,Mistral-24B,All,Q1_Accomplishment,4.0
e2e Calibrated,Mistral-24B,All,Q2_Effort,2.0
e2e Calibrated,Mistral-24B,All,Q3_Mental_Demand,2.0
e2e Calibrated,Mistral-24B,All,Q4_Controllability,3.0
e2e Calibrated,Mistral-24B,All,Q5_Temporal_Demand,1.0
e2e Calibrated,Mistral-24B,All,Q6_Satisfaction,4.0
e2e Role-Anchored,CROWD,All,Q1_Accomplishment,3.0
e2e Role-Anchored,CROWD,All,Q2_Effort,3.0
e2e Role-Anchored,CROWD,All,Q3_Mental_Demand,3.0
e2e Role-Anchored,CROWD,All,Q4_Controllability,3.0
e2e Role-Anchored,CROWD,All,Q5_Temporal_Demand,2.0
e2e Role-Anchored,CROWD,All,Q6_Satisfaction,3.0
e2e Role-Anchored,GPT-5,All,Q1_Accomplishment,3.0
e2e Role-Anchored,GPT-5,All,Q2_Effort,2.0
e2e Role-Anchored,GPT-5,All,Q3_Mental_Demand,2.0
e2e Role-Anchored,GPT-5,All,Q4_Controllability,3.0
e2e Role-Anchored,GPT-5,All,Q5_Temporal_Demand,1.0
e2e Role-Anchored,GPT-5,All,Q6_Satisfaction,3.0
