metric,metric_label,U_stat,p_value,significance,crowd_n,agent_n,mode,prompt,model,profile
accomplishment,Q1: Accomplishment,573.0,6.991851380538204e-11,***,55,55,E2E Agent,Task-Constrained,GPT-5,All
effort_required,Q2: Effort Required,2711.0,1.321543727961126e-14,***,55,55,E2E Agent,Task-Constrained,GPT-5,All
mental_demand,Q3: Mental Demand,2172.5,1.6009401151057236e-06,***,55,55,E2E Agent,Task-Constrained,GPT-5,All
perceived_controllability,Q4: Controllability,1531.5,0.9000728428000866,ns,55,55,E2E Agent,Task-Constrained,GPT-5,All
temporal_demand,Q5: Temporal Demand,2468.5,4.3677943232234484e-10,***,55,55,E2E Agent,Task-Constrained,GPT-5,All
trust,Q6: Trust,610.5,3.4068975344779355e-09,***,55,55,E2E Agent,Task-Constrained,GPT-5,All
accomplishment,Q1: Accomplishment,21.0,0.06952711765529632,ns,9,9,E2E Agent,Task-Constrained,GPT-5,high_school
effort_required,Q2: Effort Required,66.0,0.016735462679022366,*,9,9,E2E Agent,Task-Constrained,GPT-5,high_school
mental_demand,Q3: Mental Demand,54.0,0.14293891411903953,ns,9,9,E2E Agent,Task-Constrained,GPT-5,high_school
perceived_controllability,Q4: Controllability,52.5,0.2849613964660028,ns,9,9,E2E Agent,Task-Constrained,GPT-5,high_school
temporal_demand,Q5: Temporal Demand,58.5,0.08860097919771151,ns,9,9,E2E Agent,Task-Constrained,GPT-5,high_school
trust,Q6: Trust,23.0,0.10460031949019537,ns,9,9,E2E Agent,Task-Constrained,GPT-5,high_school
accomplishment,Q1: Accomplishment,69.0,6.459455510527547e-07,***,23,23,E2E Agent,Task-Constrained,GPT-5,undergraduate
effort_required,Q2: Effort Required,489.0,9.099934828573476e-08,***,23,23,E2E Agent,Task-Constrained,GPT-5,undergraduate
mental_demand,Q3: Mental Demand,345.0,0.03978326389629477,*,23,23,E2E Agent,Task-Constrained,GPT-5,undergraduate
perceived_controllability,Q4: Controllability,156.5,0.0061450058008509474,**,23,23,E2E Agent,Task-Constrained,GPT-5,undergraduate
temporal_demand,Q5: Temporal Demand,444.5,8.730027591202627e-06,***,23,23,E2E Agent,Task-Constrained,GPT-5,undergraduate
trust,Q6: Trust,82.5,1.7268959215757098e-05,***,23,23,E2E Agent,Task-Constrained,GPT-5,undergraduate
accomplishment,Q1: Accomplishment,115.0,3.4417431761498854e-05,***,23,23,E2E Agent,Task-Constrained,GPT-5,graduate
effort_required,Q2: Effort Required,482.0,3.3024028412310427e-07,***,23,23,E2E Agent,Task-Constrained,GPT-5,graduate
mental_demand,Q3: Mental Demand,425.5,9.72135519767369e-06,***,23,23,E2E Agent,Task-Constrained,GPT-5,graduate
perceived_controllability,Q4: Controllability,345.0,0.03310069283891681,*,23,23,E2E Agent,Task-Constrained,GPT-5,graduate
temporal_demand,Q5: Temporal Demand,441.0,3.508865311214238e-05,***,23,23,E2E Agent,Task-Constrained,GPT-5,graduate
trust,Q6: Trust,92.0,4.629053801093996e-06,***,23,23,E2E Agent,Task-Constrained,GPT-5,graduate
