Question,Question_Name,Group_1,Group_2,U_statistic,p_value,p_bonferroni,Significant
Q1,Accomplishment,CROWD,GPT-5,678.5,0.7332884078856042,1.0,No
Q1,Accomplishment,CROWD,LLaMA-8B,645.0,0.9773465188101689,1.0,No
Q1,Accomplishment,CROWD,Mistral-24B,508.0,0.08829101404992229,0.5297460842995337,No
Q1,Accomplishment,GPT-5,LLaMA-8B,354.0,0.0007640149864910598,0.004584089918946359,Yes
Q1,Accomplishment,GPT-5,Mistral-24B,84.0,3.124926140937161e-11,1.8749556845622966e-10,Yes
Q1,Accomplishment,LLaMA-8B,Mistral-24B,124.0,6.462935516785341e-10,3.8777613100712044e-09,Yes
Q2,Effort,CROWD,GPT-5,990.0,4.9546404482563535e-05,0.00029727842689538124,Yes
Q2,Effort,CROWD,LLaMA-8B,754.5,0.2286317324449827,1.0,No
Q2,Effort,CROWD,Mistral-24B,954.0,7.215379639403682e-05,0.0004329227783642209,Yes
Q2,Effort,GPT-5,LLaMA-8B,85.0,6.731556688361483e-11,4.0389340130168903e-10,Yes
Q2,Effort,GPT-5,Mistral-24B,504.0,0.012685325267026835,0.07611195160216101,No
Q2,Effort,LLaMA-8B,Mistral-24B,1206.0,6.951855673462009e-12,4.1711134040772055e-11,Yes
Q3,Mental Demand,CROWD,GPT-5,1108.0,2.3265386370084584e-08,1.395923182205075e-07,Yes
Q3,Mental Demand,CROWD,LLaMA-8B,1028.0,1.607612168438275e-05,9.64567301062965e-05,Yes
Q3,Mental Demand,CROWD,Mistral-24B,996.0,6.219486322841957e-05,0.00037316917937051737,Yes
Q3,Mental Demand,GPT-5,LLaMA-8B,356.5,0.0004396812632591988,0.002638087579555193,Yes
Q3,Mental Demand,GPT-5,Mistral-24B,217.5,3.091579617954964e-08,1.8549477707729786e-07,Yes
Q3,Mental Demand,LLaMA-8B,Mistral-24B,650.5,0.9814515848057552,1.0,No
Q4,Controllability,CROWD,GPT-5,783.0,0.12700491010498266,0.762029460629896,No
Q4,Controllability,CROWD,LLaMA-8B,560.0,0.3183446706830051,1.0,No
Q4,Controllability,CROWD,Mistral-24B,669.5,0.8113806652561167,1.0,No
Q4,Controllability,GPT-5,LLaMA-8B,55.0,1.9007227606060045e-11,1.1404336563636027e-10,Yes
Q4,Controllability,GPT-5,Mistral-24B,241.0,3.5655101262741648e-06,2.139306075764499e-05,Yes
Q4,Controllability,LLaMA-8B,Mistral-24B,1097.0,3.101419205102167e-07,1.8608515230613e-06,Yes
Q5,Temporal Demand,CROWD,GPT-5,1116.0,4.759997172082245e-09,2.855998303249347e-08,Yes
Q5,Temporal Demand,CROWD,LLaMA-8B,395.5,0.003952944267041093,0.023717665602246557,Yes
Q5,Temporal Demand,CROWD,Mistral-24B,1125.0,1.2401987519310055e-09,7.441192511586033e-09,Yes
Q5,Temporal Demand,GPT-5,LLaMA-8B,0.0,2.070783172406625e-14,1.2424699034439749e-13,Yes
Q5,Temporal Demand,GPT-5,Mistral-24B,682.0,0.4309096873294844,1.0,No
Q5,Temporal Demand,LLaMA-8B,Mistral-24B,1294.5,1.3362188289036088e-14,8.017312973421652e-14,Yes
Q6,Satisfaction,CROWD,GPT-5,724.5,0.38669903641620385,1.0,No
Q6,Satisfaction,CROWD,LLaMA-8B,657.0,0.9230025385832688,1.0,No
Q6,Satisfaction,CROWD,Mistral-24B,558.0,0.3046544537406837,1.0,No
Q6,Satisfaction,GPT-5,LLaMA-8B,415.0,0.007658403733889049,0.045950422403334294,Yes
Q6,Satisfaction,GPT-5,Mistral-24B,138.0,6.5971011524917015e-09,3.958260691495021e-08,Yes
Q6,Satisfaction,LLaMA-8B,Mistral-24B,239.5,3.0874296272362585e-06,1.852457776341755e-05,Yes
