Question,Question_Name,Group_1,Group_2,U_statistic,p_value,p_bonferroni,Significant
Q1,Accomplishment,CROWD,GPT-5,286.0,0.17342506847703498,1.0,No
Q1,Accomplishment,CROWD,LLaMA-8B,308.5,0.33329568753437977,1.0,No
Q1,Accomplishment,CROWD,Mistral-24B,251.5,0.04485470705114991,0.26912824230689947,No
Q1,Accomplishment,GPT-5,LLaMA-8B,451.5,0.12636385175957804,0.7581831105574682,No
Q1,Accomplishment,GPT-5,Mistral-24B,141.0,7.369633620261759e-05,0.0004421780172157055,Yes
Q1,Accomplishment,LLaMA-8B,Mistral-24B,74.5,3.2292708235456354e-07,1.9375624941273815e-06,Yes
Q2,Effort,CROWD,GPT-5,570.0,0.00031058702439436335,0.00186352214636618,Yes
Q2,Effort,CROWD,LLaMA-8B,516.5,0.008071465868290384,0.048428795209742304,Yes
Q2,Effort,CROWD,Mistral-24B,580.5,3.825323822649374e-05,0.00022951942935896247,Yes
Q2,Effort,GPT-5,LLaMA-8B,67.0,1.6171055350942425e-07,9.702633210565455e-07,Yes
Q2,Effort,GPT-5,Mistral-24B,459.0,0.039025079369439164,0.23415047621663498,No
Q2,Effort,LLaMA-8B,Mistral-24B,715.5,4.933527104297864e-11,2.9601162625787184e-10,Yes
Q3,Mental Demand,CROWD,GPT-5,543.0,0.0014400467425139773,0.008640280455083863,Yes
Q3,Mental Demand,CROWD,LLaMA-8B,521.0,0.006558828310188864,0.03935296986113319,Yes
Q3,Mental Demand,CROWD,Mistral-24B,499.0,0.018521727246056822,0.11113036347634093,No
Q3,Mental Demand,GPT-5,LLaMA-8B,231.5,0.018500341549187217,0.1110020492951233,No
Q3,Mental Demand,GPT-5,Mistral-24B,206.5,0.00403835397561773,0.024230123853706376,Yes
Q3,Mental Demand,LLaMA-8B,Mistral-24B,392.5,0.6267821227774899,1.0,No
Q4,Controllability,CROWD,GPT-5,357.0,0.9014734894665175,1.0,No
Q4,Controllability,CROWD,LLaMA-8B,189.5,0.0023262273703650955,0.013957364222190573,Yes
Q4,Controllability,CROWD,Mistral-24B,179.5,0.001283797621367204,0.007702785728203224,Yes
Q4,Controllability,GPT-5,LLaMA-8B,108.0,6.911326712269616e-06,4.14679602736177e-05,Yes
Q4,Controllability,GPT-5,Mistral-24B,67.5,1.9475957924845045e-07,1.1685574754907026e-06,Yes
Q4,Controllability,LLaMA-8B,Mistral-24B,358.5,0.9222897766679088,1.0,No
Q5,Temporal Demand,CROWD,GPT-5,529.0,0.0028902466697680795,0.017341480018608475,Yes
Q5,Temporal Demand,CROWD,LLaMA-8B,200.0,0.004272527335496805,0.025635164012980827,Yes
Q5,Temporal Demand,CROWD,Mistral-24B,569.0,7.102484996347565e-05,0.0004261490997808539,Yes
Q5,Temporal Demand,GPT-5,LLaMA-8B,0.0,1.92781984244647e-10,1.156691905467882e-09,Yes
Q5,Temporal Demand,GPT-5,Mistral-24B,461.0,0.04690342545917239,0.28142055275503436,No
Q5,Temporal Demand,LLaMA-8B,Mistral-24B,728.0,7.487613116129864e-11,4.4925678696779186e-10,Yes
Q6,Satisfaction,CROWD,GPT-5,335.5,0.6176282087724287,1.0,No
Q6,Satisfaction,CROWD,LLaMA-8B,360.0,0.9442254683002674,1.0,No
Q6,Satisfaction,CROWD,Mistral-24B,305.0,0.2995963703771761,1.0,No
Q6,Satisfaction,GPT-5,LLaMA-8B,441.0,0.17610420884629896,1.0,No
Q6,Satisfaction,GPT-5,Mistral-24B,202.0,0.004313830514478753,0.02588298308687252,Yes
Q6,Satisfaction,LLaMA-8B,Mistral-24B,154.5,0.00023181760592618278,0.0013909056355570968,Yes
