metric,metric_label,U_stat,p_value,significance,crowd_n,agent_n,mode,prompt,model,profile
accomplishment,Q1: Accomplishment,1002.0,0.0009020345731051649,***,55,55,E2E Agent,Role-Anchored,LLaMA-8B,All
effort_required,Q2: Effort Required,2701.5,2.4822900470628263e-14,***,55,55,E2E Agent,Role-Anchored,LLaMA-8B,All
mental_demand,Q3: Mental Demand,2172.5,1.6009401151057236e-06,***,55,55,E2E Agent,Role-Anchored,LLaMA-8B,All
perceived_controllability,Q4: Controllability,1662.0,0.331738798396772,ns,55,55,E2E Agent,Role-Anchored,LLaMA-8B,All
temporal_demand,Q5: Temporal Demand,2494.0,8.240418893679874e-11,***,55,55,E2E Agent,Role-Anchored,LLaMA-8B,All
trust,Q6: Trust,825.0,1.0674021705174936e-05,***,55,55,E2E Agent,Role-Anchored,LLaMA-8B,All
accomplishment,Q1: Accomplishment,33.0,0.45993597347516046,ns,9,9,E2E Agent,Role-Anchored,LLaMA-8B,high_school
effort_required,Q2: Effort Required,64.5,0.027166755534789973,*,9,9,E2E Agent,Role-Anchored,LLaMA-8B,high_school
mental_demand,Q3: Mental Demand,54.0,0.14293891411903953,ns,9,9,E2E Agent,Role-Anchored,LLaMA-8B,high_school
perceived_controllability,Q4: Controllability,58.5,0.08820150262646032,ns,9,9,E2E Agent,Role-Anchored,LLaMA-8B,high_school
temporal_demand,Q5: Temporal Demand,58.5,0.08860097919771151,ns,9,9,E2E Agent,Role-Anchored,LLaMA-8B,high_school
trust,Q6: Trust,27.0,0.18838513471909535,ns,9,9,E2E Agent,Role-Anchored,LLaMA-8B,high_school
accomplishment,Q1: Accomplishment,151.5,0.007587302596918863,**,23,23,E2E Agent,Role-Anchored,LLaMA-8B,undergraduate
effort_required,Q2: Effort Required,489.0,9.099934828573476e-08,***,23,23,E2E Agent,Role-Anchored,LLaMA-8B,undergraduate
mental_demand,Q3: Mental Demand,345.0,0.03978326389629477,*,23,23,E2E Agent,Role-Anchored,LLaMA-8B,undergraduate
perceived_controllability,Q4: Controllability,191.5,0.08118491972912008,ns,23,23,E2E Agent,Role-Anchored,LLaMA-8B,undergraduate
temporal_demand,Q5: Temporal Demand,448.5,3.962991540790109e-06,***,23,23,E2E Agent,Role-Anchored,LLaMA-8B,undergraduate
trust,Q6: Trust,132.5,0.002214274245497233,**,23,23,E2E Agent,Role-Anchored,LLaMA-8B,undergraduate
accomplishment,Q1: Accomplishment,178.0,0.03284133466438395,*,23,23,E2E Agent,Role-Anchored,LLaMA-8B,graduate
effort_required,Q2: Effort Required,482.0,3.3024028412310427e-07,***,23,23,E2E Agent,Role-Anchored,LLaMA-8B,graduate
mental_demand,Q3: Mental Demand,425.5,9.72135519767369e-06,***,23,23,E2E Agent,Role-Anchored,LLaMA-8B,graduate
perceived_controllability,Q4: Controllability,350.5,0.025654302725166115,*,23,23,E2E Agent,Role-Anchored,LLaMA-8B,graduate
temporal_demand,Q5: Temporal Demand,446.0,1.5312277386741677e-05,***,23,23,E2E Agent,Role-Anchored,LLaMA-8B,graduate
trust,Q6: Trust,101.5,2.1213557453624275e-05,***,23,23,E2E Agent,Role-Anchored,LLaMA-8B,graduate
